ID,Incident Type, Date Reported, Time and Date Occurred,Address,latitude,longitude, Disposition
266,Theft, 1745 10/01/2013, 1200-1700 10/01/2013," 71 Hamilton Street, NJ",40.499668,-74.445743, Open Case
267,Harassment, 2201 10/01/2013, 0300 10/01/2013," 611 George Street, NJ",40.503592,-74.448256, Open Case
268,Possesion of CDS/Arrest on Warrant/Hindering Apprehension, 0052 10/02/2013, 1909 10/01/2013," 31 Riverside Drive, NJ",39.943582,-75.130238, Arrest
269,Lewdness/Defiant Trespass, 2000 10/01/2013, 1917 10/01/2013," Road 1 & Road 3, NJ",40.515386,-74.434303, Arrest
270,Suspicious Drugs, 1933 10/01/2013, 1933 10/01/2013," 91 Gibbons Circle, NJ",40.485277,-74.432159, Unfounded
271,Suspicious Drugs, 2236 10/01/2013, 2236 10/1/2013," 93 Gibbons Circle, NJ",40.486322,-74.431708, Unfounded
272,Simple Assault (DV), 0420 10/02/2013, 00000 10/02/2013," 70 Joyce Kilmer Ave, NJ",40.490643,-74.449869, Arrest
273,Theft, 1322 10/02/2013, 0955-1200 10/02/2013," 85 George Street, NJ",40.486167,-74.433759, Open Case
274,Theft, 1346 10/02/2013, 1730-1855 10/01/2013," 72 Lipman Drive, NJ",40.197349,-74.030196, Open Case
275,Theft, 1430 10/02/2013, 1800 10/01 - 0700 10/02/2013," 103 Davidson Road, NJ",40.525535,-74.458938, Open Case
276,Defiant Trespass, 1605 10/02/2013, 1530-1605 10/02/2013," 66 Joyce Kilmer Ave, NJ",40.523732,-74.435132, Open Case
277,Theft, 1920 10/02/2013, 930 09/24 - 1330 10/02/2013," 126 College Ave, NJ",40.502910,-74.452141, Open Case
278,Theft, 2140 10/02/2013, 1330-1340 10/02/2013," 183 Bevier Road, NJ",40.526157,-74.465883, Open Case
279,Theft, 2023 10/02/2013, 1630-1930 10/02/2013," 510 George Street, NJ",40.500805,-74.445716, Open Case
280,Harassment, 0041 10/03/2013, 2355 10/02 - 0038 10/03/2013," 49 Biel Road West, NJ",40.478495,-74.430041, Open Case
281,Arrest on Warrant, 0018 10/03/2013, 0218 10/03/2013," 169 College Ave, NJ",40.504402,-74.453090, Arrest
282,Theft, 1510 10/03/2013, 0100 09/28/2013," 66 College Ave, NJ",40.500191,-74.449212, Open Case
283,Possession of CDS, 2058 10/03/2013, 2011 10/03/2013," 619 George Street, NJ",40.502712,-74.446724, Arrest
284,Suspicious Drugs, 0029 10/04/2013, 0029 10/04/2013," 618 Marvin Lane, NJ",40.519860,-74.454844, Unfounded
285,DWI, 0157 10/04/2013, 0045 - 0102 10/04/2013," 95 College Ave, NJ",40.501067,-74.449682, Arrest
286,DWI, 0226 10/04/2013, 0128 10'/04/2013," Easton Ave and Landing Lane, NJ",40.505378,-74.468213, Arrest
287,Theft, 0441 10/04/2013, 0335 10'/04/2013," 8 Chapel Drive, NJ",40.536134,-74.579574, Open Case
288,Fraudulent Checks, 0905 10/04/2013, 0630 10/03 - 0830 10/04/2013," 65 Davidson Road, NJ",40.523521,-74.455629, Open Case
289,Sexual Assault, 1259 10/04/2013, 2100 09/27 - 0030 09/28/2013," Unknown, NJ",40.058324,-74.405661, Open Case
290,Theft, 1400 10/04/2013, 1240-1250 10/04/2013," 617 George Street, NJ",40.502700,-74.446712, Open Case
291,Theft, 1700 10/04/2013, 2230 10/01 - 1320 10/02/2013," 34 Biel Road West, NJ",40.478444,-74.432011, Open Case
292,Theft, 1716 10/04/2013, 1500-1505 10/04/2013," 84 Joyce Kilmer Ave, NJ",40.523391,-74.437402, Open Case
293,Theft, 1624 10/04/2013, 0915-1550 10/04/2013," 170 Frelinghuysen Road, NJ",40.522847,-74.466639, Open Case
294,Sexual Assault, 1635 10/04/2013,9/27/2013," Joyce Kilmer Ave, NJ",40.495377,-74.448169, Open Case
295,Theft, 0554 10/05/2013, 2145 10/05/2013," 617 George Street, NJ",40.502700,-74.446712, Open Case
296,Theft, 0507 10/05/2013, 2145-2305 10/05/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
297,Simple Assault, 0431 10/05/2013, 0115 10/05/2013," 46 College Ave, NJ",40.499494,-74.448135, Open Case
298,Theft, 0250 10/05/2013, 0200-0220 10/05/2013," Somerset and George, NJ",40.386410,-74.669044, Open Case
299,Simple Assault, 0518 10.05.2013, 0528 10/05/2013," 85 Senior Street, NJ",40.501789,-74.456462, Open Case
300,DWI, 0514 10/05/2013, 0348 10/05/2013," Commercial and Suydam, NJ",40.485517,-74.441728, Arrest
301,Burglary/Theft, 1249 10/05/2013, 2000 09/19 - 1155 10/05/2013," 625 George Street, NJ",40.502747,-74.446761, Open Case
302,Theft, 1732 10/05/2013, 1400-1710 10/05/2013," 617 George Street, NJ",40.502700,-74.446712, Open Case
303,Defiant Trespass/Theft/ Poss Burglary Tools/ Poss Hypo/ Arrest on Warrant, 1931 10?05/2013, 1912 10/05/2013," 130 College Ave, NJ",40.502996,-74.453406, Arrest
304,Burglary/Theft, 2115 10/05/2013, 0830-2120 10/05/2013," 28 Easton Ave, NJ",40.496617,-74.446624, Open Case
305,Criminal Mischief`,10/5/2013, 2122 10/05/2013," 117 College Ave, NJ",40.502390,-74.451035, Open Case
306,DWI, 2349 10/05/2013, 2227 10/05/2013," 33 Commercial Ave, NJ",40.488267,-74.438912, Arrest
307,DWI, 0157 10/06/2013, 0048 10/06/2013," Rt 18 N and Metlars Lane, NJ",40.524448,-74.450837, Arrest
